nomAttribuant,idAttribuant,dateConvention,referenceDecision,nomBeneficiaire,idBeneficiaire,objet,montant,nature,conditionsVersement,datesPeriodeVersement,idRAE,notificationUE,pourcentageSubvention,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner
Commune de Vincennes,21940080100011,2016-04-06,DE-16-04-1-15,Amicale du personnel territorial de la Ville de Vincennes ,43496173600015,Fonctionnement et chèques vacances,670000,aide en numéraire,échelonné,2018-01-01/2018-12-31,,non,1,2021-09-07T10:04:33.755000,5c1d0675634f41014b04cfd7,cc3d442a-912f-4933-a486-0b9fa32ebd55,ville-de-vincennes
Commune de Vincennes,21940080100011,2016-04-06,DE-16-04-1-30,Association vincennoise pour l'aide à domicile (AVAD),78580813000021,Fonctionnement,70000,aide en numéraire,échelonné,2018-01-01/2018-12-31,,non,1,2021-09-07T10:04:33.755000,5c1d0675634f41014b04cfd7,cc3d442a-912f-4933-a486-0b9fa32ebd55,ville-de-vincennes
Commune de Vincennes,21940080100011,2016-04-06,DE-16-04-1-31,Club olympique vincennois,41893932800013,Fonctionnement,45000,aide en numéraire,échelonné,2018-01-01/2018-12-31,,non,1,2021-09-07T10:04:33.755000,5c1d0675634f41014b04cfd7,cc3d442a-912f-4933-a486-0b9fa32ebd55,ville-de-vincennes
Commune de Vincennes,21940080100011,2018-06-27,DE-18-06-1-41,Clubs loisirs découvertes ,32393458800027,Fonctionnement,80000,aide en numéraire,échelonné,2018-01-01/2018-12-31,,non,1,2021-09-07T10:04:33.755000,5c1d0675634f41014b04cfd7,cc3d442a-912f-4933-a486-0b9fa32ebd55,ville-de-vincennes
Commune de Vincennes,21940080100011,2017-06-28,DE-17-06-1-24,Espace Daniel-Sorano,30413473700028,Fonctionnement et investissement,487000,aide en numéraire,échelonné,2018-01-01/2018-12-31,,non,1,2021-09-07T10:04:33.755000,5c1d0675634f41014b04cfd7,cc3d442a-912f-4933-a486-0b9fa32ebd55,ville-de-vincennes
Commune de Vincennes,21940080100011,2017-06-28,DE-17-06-1-26,Festival America,44291934600019,Festival de littérature Nord-américaine,90000,aide en numéraire,échelonné,2018-01-01/2018-12-31,,non,1,2021-09-07T10:04:33.755000,5c1d0675634f41014b04cfd7,cc3d442a-912f-4933-a486-0b9fa32ebd55,ville-de-vincennes
Commune de Vincennes,21940080100011,2017-03-29,DE-17-03-2-26,SOLIHA de Vincennes,78580811400017,Fonctionnement,57000,aide en numéraire,échelonné,2018-01-01/2018-12-31,,non,1,2021-09-07T10:04:33.755000,5c1d0675634f41014b04cfd7,cc3d442a-912f-4933-a486-0b9fa32ebd55,ville-de-vincennes
Commune de Vincennes,21940080100011,2018-06-27,DE-18-06-1-34,Vincennes en concert - Prima la musica,48004165600012,Programmation Concerts classiques,57000,aide en numéraire,échelonné,2018-01-01/2018-12-31,,non,1,2021-09-07T10:04:33.755000,5c1d0675634f41014b04cfd7,cc3d442a-912f-4933-a486-0b9fa32ebd55,ville-de-vincennes
Commune de Vincennes,21940080100011,2016-04-06,DE-16-04-1-32,Rugby club de Vincennes,43118178300017,Fonctionnement,36000,aide en numéraire,échelonné,2018-01-01/2018-12-31,,non,1,2021-09-07T10:04:33.755000,5c1d0675634f41014b04cfd7,cc3d442a-912f-4933-a486-0b9fa32ebd55,ville-de-vincennes
Commune de Vincennes,21940080100011,2016-04-06,DE-16-04-1-33,Vincennes Volley-club ,44896477500010,Fonctionnement,46000,aide en numéraire,échelonné,2018-01-01/2018-12-31,,non,1,2021-09-07T10:04:33.755000,5c1d0675634f41014b04cfd7,cc3d442a-912f-4933-a486-0b9fa32ebd55,ville-de-vincennes
Commune de Vincennes,21940080100011,2017-03-29,DE-17-03-2-20,L'image et la mémoire,81396157000013,Festival de cinéma,20000,aide en numéraire,unique,2018-04-20,,non,1,2021-09-07T10:04:33.755000,5c1d0675634f41014b04cfd7,cc3d442a-912f-4933-a486-0b9fa32ebd55,ville-de-vincennes
